"data","R0","LB","UB"
2020-04-18,7.424,0.363,42.422
2020-04-19,1.45,0.001,8.683
2020-04-20,1,0.002,5.051
2020-04-21,2.683,0.695,6.85
2020-04-22,2.661,1.014,5.637
2020-04-23,3.282,1.73,5.79
2020-04-24,2.474,1.381,4.108
2020-04-25,1.698,0.927,2.792
2020-04-26,2.502,1.687,3.609
2020-04-27,3.544,2.67,4.694
2020-04-28,3.259,2.564,4.137
2020-04-29,2.979,2.422,3.659
2020-04-30,2.577,2.142,3.095
2020-05-01,2.544,2.167,2.984
2020-05-02,2.062,1.772,2.395
2020-05-03,2.204,1.934,2.51
2020-05-04,1.937,1.714,2.186
2020-05-05,1.839,1.644,2.056
2020-05-06,1.805,1.629,1.998
2020-05-07,1.677,1.523,1.845
2020-05-08,1.595,1.457,1.744
2020-05-09,1.532,1.407,1.666
2020-05-10,1.47,1.357,1.591
2020-05-11,1.378,1.276,1.488
2020-05-12,1.335,1.24,1.436
2020-05-13,1.295,1.207,1.388
2020-05-14,1.244,1.162,1.331
2020-05-15,1.409,1.328,1.494
2020-05-16,1.424,1.348,1.504
2020-05-17,1.354,1.284,1.428
2020-05-18,1.304,1.239,1.372
2020-05-19,1.305,1.243,1.37
2020-05-20,1.321,1.262,1.382
2020-05-21,1.272,1.217,1.329
2020-05-22,1.248,1.196,1.302
2020-05-23,1.466,1.413,1.522
2020-05-24,1.432,1.382,1.484
2020-05-25,1.389,1.342,1.437
2020-05-26,1.386,1.342,1.432
2020-05-27,1.36,1.318,1.403
2020-05-28,1.363,1.323,1.404
2020-05-29,1.448,1.409,1.488
2020-05-30,1.49,1.452,1.53
2020-05-31,1.447,1.412,1.484
2020-06-01,1.425,1.392,1.459
2020-06-02,1.407,1.375,1.439
2020-06-03,1.369,1.339,1.399
2020-06-04,1.341,1.313,1.369
2020-06-05,1.328,1.301,1.355
2020-06-06,1.295,1.27,1.321
2020-06-07,1.27,1.246,1.294
2020-06-08,1.242,1.22,1.266
2020-06-09,1.219,1.197,1.241
2020-06-10,1.201,1.18,1.223
2020-06-11,1.185,1.165,1.205
2020-06-12,1.169,1.15,1.189
2020-06-13,1.154,1.135,1.173
2020-06-14,1.139,1.121,1.158
2020-06-15,1.124,1.107,1.142
2020-06-16,1.135,1.118,1.153
2020-06-17,1.125,1.109,1.142
2020-06-18,1.12,1.103,1.136
2020-06-19,1.12,1.104,1.136
2020-06-20,1.121,1.106,1.137
2020-06-21,1.117,1.102,1.132
2020-06-22,1.108,1.094,1.123
2020-06-23,1.101,1.087,1.115
2020-06-24,1.098,1.084,1.112
2020-06-25,1.091,1.078,1.105
2020-06-26,1.087,1.074,1.1
2020-06-27,1.079,1.066,1.092
2020-06-28,1.072,1.059,1.084
2020-06-29,1.066,1.054,1.079
2020-06-30,1.062,1.05,1.074
2020-07-01,1.059,1.047,1.071
2020-07-02,1.055,1.043,1.066
2020-07-03,1.053,1.042,1.065
2020-07-04,1.052,1.041,1.063
2020-07-05,1.056,1.045,1.067
2020-07-06,1.056,1.045,1.066
2020-07-07,1.051,1.041,1.062
2020-07-08,1.05,1.04,1.06
2020-07-09,1.045,1.035,1.055
2020-07-10,1.047,1.038,1.057
2020-07-11,1.05,1.041,1.06
2020-07-12,1.054,1.045,1.064
2020-07-13,1.05,1.04,1.059
2020-07-14,1.045,1.036,1.054
2020-07-15,1.043,1.034,1.052
2020-07-16,1.042,1.033,1.051
2020-07-17,1.04,1.032,1.049
2020-07-18,1.037,1.028,1.045
2020-07-19,1.033,1.025,1.041
2020-07-20,1.03,1.022,1.038
2020-07-21,1.028,1.02,1.036
2020-07-22,1.027,1.019,1.035
2020-07-23,1.034,1.026,1.042
2020-07-24,1.034,1.027,1.042
2020-07-25,1.034,1.027,1.042
2020-07-26,1.031,1.024,1.039
2020-07-27,1.028,1.021,1.036
2020-07-28,1.026,1.019,1.033
2020-07-29,1.028,1.021,1.035
2020-07-30,1.026,1.019,1.034
2020-07-31,1.029,1.022,1.036
2020-08-01,1.026,1.019,1.033
2020-08-02,1.029,1.022,1.036
2020-08-03,1.027,1.021,1.034
2020-08-04,1.025,1.018,1.032
2020-08-05,1.03,1.024,1.036
2020-08-06,1.035,1.029,1.041
2020-08-07,1.035,1.029,1.042
2020-08-08,1.036,1.029,1.042
2020-08-09,1.036,1.03,1.042
2020-08-10,1.035,1.029,1.041
2020-08-11,1.033,1.027,1.039
2020-08-12,1.037,1.031,1.043
2020-08-13,1.036,1.03,1.042
2020-08-14,1.038,1.033,1.044
2020-08-15,1.04,1.034,1.045
2020-08-16,1.04,1.035,1.046
2020-08-17,1.041,1.035,1.046
2020-08-18,1.039,1.033,1.044
2020-08-19,1.04,1.034,1.045
2020-08-20,1.04,1.035,1.045
2020-08-21,1.041,1.036,1.046
2020-08-22,1.041,1.036,1.046
2020-08-23,1.04,1.035,1.045
