"data","R0","LB","UB"
2020-03-21,40.187,3.092,1871.013
2020-03-22,9.88,1.629,62.366
2020-03-23,4.099,0.637,17.055
2020-03-24,3.404,0.766,11.099
2020-03-25,2.212,0.449,6.572
2020-03-26,2.163,0.613,5.556
2020-03-27,2.468,0.987,5.418
2020-03-28,2.198,0.971,4.44
2020-03-29,2.242,1.139,4.136
2020-03-30,1.808,0.926,3.223
2020-03-31,2.484,1.539,3.973
2020-04-01,2.023,1.277,3.13
2020-04-02,1.828,1.189,2.739
2020-04-03,1.775,1.202,2.568
2020-04-04,1.72,1.205,2.416
2020-04-05,1.858,1.367,2.512
2020-04-06,1.915,1.458,2.514
2020-04-07,1.703,1.311,2.203
2020-04-08,1.587,1.238,2.023
2020-04-09,1.605,1.279,2.007
2020-04-10,2.222,1.848,2.692
2020-04-11,2.028,1.71,2.417
2020-04-12,1.842,1.57,2.169
2020-04-13,1.72,1.479,2.004
2020-04-14,1.654,1.436,1.91
2020-04-15,1.626,1.425,1.86
2020-04-16,1.597,1.411,1.812
2020-04-17,1.523,1.353,1.717
2020-04-18,1.584,1.42,1.77
2020-04-19,1.504,1.354,1.672
2020-04-20,1.488,1.348,1.644
2020-04-21,1.433,1.303,1.576
2020-04-22,1.415,1.293,1.549
2020-04-23,1.357,1.244,1.481
2020-04-24,1.395,1.286,1.515
2020-04-25,1.426,1.321,1.542
2020-04-26,1.372,1.274,1.479
2020-04-27,1.359,1.266,1.46
2020-04-28,1.381,1.291,1.478
2020-04-29,1.437,1.349,1.532
2020-04-30,1.404,1.321,1.492
2020-05-01,1.435,1.356,1.522
2020-05-02,1.387,1.312,1.466
2020-05-03,1.432,1.36,1.511
2020-05-04,1.393,1.325,1.466
2020-05-05,1.369,1.304,1.437
2020-05-06,1.377,1.315,1.443
2020-05-07,1.352,1.293,1.414
2020-05-08,1.369,1.312,1.429
2020-05-09,1.368,1.314,1.426
2020-05-10,1.359,1.307,1.414
2020-05-11,1.325,1.276,1.377
2020-05-12,1.306,1.259,1.355
2020-05-13,1.291,1.246,1.338
2020-05-14,1.276,1.233,1.321
2020-05-15,1.301,1.259,1.345
2020-05-16,1.296,1.256,1.338
2020-05-17,1.285,1.247,1.326
2020-05-18,1.27,1.233,1.309
2020-05-19,1.27,1.234,1.307
2020-05-20,1.259,1.224,1.295
2020-05-21,1.242,1.208,1.276
2020-05-22,1.233,1.201,1.266
2020-05-23,1.264,1.232,1.297
2020-05-24,1.264,1.234,1.296
2020-05-25,1.251,1.221,1.281
2020-05-26,1.232,1.204,1.261
2020-05-27,1.215,1.188,1.243
2020-05-28,1.209,1.182,1.236
2020-05-29,1.208,1.182,1.234
2020-05-30,1.212,1.187,1.238
2020-05-31,1.213,1.189,1.238
2020-06-01,1.202,1.179,1.226
2020-06-02,1.205,1.182,1.228
2020-06-03,1.201,1.178,1.224
2020-06-04,1.214,1.192,1.236
2020-06-05,1.215,1.194,1.237
2020-06-06,1.218,1.197,1.239
2020-06-07,1.214,1.194,1.235
2020-06-08,1.207,1.188,1.228
2020-06-09,1.199,1.181,1.219
2020-06-10,1.201,1.183,1.22
2020-06-11,1.199,1.181,1.217
2020-06-12,1.202,1.185,1.22
2020-06-13,1.193,1.176,1.21
2020-06-14,1.181,1.165,1.198
2020-06-15,1.174,1.158,1.19
2020-06-16,1.175,1.159,1.191
2020-06-17,1.181,1.165,1.197
2020-06-18,1.192,1.177,1.208
2020-06-19,1.198,1.184,1.214
2020-06-20,1.219,1.204,1.234
2020-06-21,1.229,1.215,1.244
2020-06-22,1.224,1.21,1.238
2020-06-23,1.217,1.203,1.231
2020-06-24,1.229,1.216,1.243
2020-06-25,1.239,1.225,1.252
2020-06-26,1.252,1.239,1.266
2020-06-27,1.264,1.251,1.277
2020-06-28,1.269,1.256,1.282
2020-06-29,1.262,1.25,1.275
2020-06-30,1.259,1.247,1.272
2020-07-01,1.271,1.259,1.283
2020-07-02,1.275,1.263,1.287
2020-07-03,1.274,1.263,1.286
2020-07-04,1.305,1.293,1.317
2020-07-05,1.311,1.299,1.322
2020-07-06,1.295,1.285,1.307
2020-07-07,1.287,1.276,1.298
2020-07-08,1.292,1.281,1.302
2020-07-09,1.293,1.283,1.303
