"data","R0","LB","UB"
2020-04-07,10.173,0.125,630.293
2020-04-08,4.523,0.024,81.829
2020-04-09,2.85,0.007,32.561
2020-04-10,2.065,0.003,18.447
2020-04-11,7.967,2.059,40.645
2020-04-12,4.257,1.326,14.807
2020-04-13,2.961,0.987,8.613
2020-04-14,2.299,0.788,6.02
2020-04-15,1.898,0.658,4.634
2020-04-16,1.629,0.567,3.783
2020-04-17,1.438,0.5,3.212
2020-04-18,1.296,0.45,2.806
2020-04-19,1.802,0.911,3.423
2020-04-20,1.843,1.012,3.302
2020-04-21,1.648,0.92,2.854
2020-04-22,1.501,0.849,2.532
2020-04-23,1.386,0.792,2.288
2020-04-24,1.295,0.746,2.099
2020-04-25,1.22,0.708,1.947
2020-04-26,1.158,0.676,1.823
2020-04-27,1.247,0.786,1.887
2020-04-28,1.519,1.057,2.182
2020-04-29,2.139,1.592,2.955
2020-04-30,2.046,1.559,2.749
2020-05-01,2.016,1.57,2.644
2020-05-02,1.836,1.454,2.359
2020-05-03,1.862,1.5,2.349
2020-05-04,1.829,1.496,2.269
2020-05-05,1.73,1.432,2.116
2020-05-06,1.678,1.405,2.026
2020-05-07,1.607,1.358,1.919
2020-05-08,1.593,1.359,1.883
2020-05-09,1.555,1.338,1.822
2020-05-10,1.483,1.284,1.724
2020-05-11,1.423,1.238,1.643
2020-05-12,1.423,1.246,1.632
2020-05-13,1.479,1.307,1.684
2020-05-14,1.49,1.325,1.686
2020-05-15,1.577,1.412,1.772
2020-05-16,1.614,1.453,1.802
2020-05-17,1.569,1.421,1.742
2020-05-18,1.53,1.392,1.689
2020-05-19,1.672,1.528,1.838
2020-05-20,1.719,1.579,1.881
2020-05-21,1.654,1.527,1.8
2020-05-22,1.616,1.499,1.75
2020-05-23,1.718,1.598,1.854
2020-05-24,1.756,1.639,1.887
2020-05-25,1.67,1.566,1.786
2020-05-26,1.72,1.618,1.834
2020-05-27,1.73,1.632,1.837
2020-05-28,1.738,1.645,1.84
2020-05-29,1.752,1.663,1.849
2020-05-30,1.726,1.644,1.815
2020-05-31,1.721,1.644,1.806
2020-06-01,1.67,1.6,1.746
2020-06-02,1.64,1.574,1.71
2020-06-03,1.622,1.561,1.688
2020-06-04,1.592,1.535,1.653
2020-06-05,1.625,1.569,1.685
2020-06-06,1.586,1.535,1.641
2020-06-07,1.567,1.519,1.619
2020-06-08,1.513,1.469,1.56
2020-06-09,1.482,1.441,1.526
2020-06-10,1.474,1.435,1.515
2020-06-11,1.456,1.419,1.495
2020-06-12,1.434,1.399,1.47
2020-06-13,1.411,1.378,1.445
2020-06-14,1.398,1.366,1.43
2020-06-15,1.369,1.34,1.4
2020-06-16,1.371,1.343,1.401
2020-06-17,1.382,1.354,1.41
2020-06-18,1.376,1.349,1.403
2020-06-19,1.374,1.348,1.4
2020-06-20,1.379,1.354,1.405
2020-06-21,1.375,1.351,1.4
2020-06-22,1.354,1.331,1.378
2020-06-23,1.341,1.319,1.363
2020-06-24,1.342,1.321,1.364
2020-06-25,1.335,1.315,1.356
2020-06-26,1.334,1.314,1.354
2020-06-27,1.32,1.301,1.339
2020-06-28,1.306,1.288,1.325
2020-06-29,1.292,1.275,1.31
2020-06-30,1.283,1.267,1.3
2020-07-01,1.279,1.263,1.296
2020-07-02,1.268,1.252,1.284
2020-07-03,1.262,1.247,1.277
2020-07-04,1.26,1.245,1.275
2020-07-05,1.265,1.251,1.28
2020-07-06,1.26,1.246,1.274
2020-07-07,1.251,1.237,1.264
2020-07-08,1.249,1.236,1.263
2020-07-09,1.242,1.23,1.255
2020-07-10,1.237,1.224,1.249
2020-07-11,1.228,1.216,1.24
2020-07-12,1.229,1.218,1.241
2020-07-13,1.22,1.209,1.232
2020-07-14,1.21,1.199,1.221
2020-07-15,1.205,1.194,1.215
2020-07-16,1.198,1.188,1.208
2020-07-17,1.194,1.184,1.204
2020-07-18,1.195,1.185,1.205
2020-07-19,1.191,1.182,1.201
2020-07-20,1.184,1.175,1.193
2020-07-21,1.178,1.169,1.187
