"data","R0","LB","UB"
2020-03-27,8.857,0,615.276
2020-03-28,9.526,0.273,150.125
2020-03-29,6.764,0.686,46.389
2020-03-30,10.07,2.909,38.679
2020-03-31,4.353,1.387,12.287
2020-04-01,3.74,1.477,8.788
2020-04-02,2.85,1.227,6.015
2020-04-03,2.349,1.087,4.588
2020-04-04,3.283,1.916,5.583
2020-04-05,3.875,2.536,5.99
2020-04-06,3.078,2.118,4.486
2020-04-07,2.906,2.103,4.027
2020-04-08,2.986,2.268,3.954
2020-04-09,4.789,3.833,6.039
2020-04-10,3.378,2.801,4.1
2020-04-11,3.794,3.235,4.471
2020-04-12,3.258,2.843,3.749
2020-04-13,3.07,2.726,3.466
2020-04-14,2.541,2.287,2.83
2020-04-15,2.597,2.365,2.857
2020-04-16,2.389,2.196,2.603
2020-04-17,2.161,2.002,2.337
2020-04-18,1.966,1.831,2.113
2020-04-19,1.86,1.741,1.988
2020-04-20,1.746,1.641,1.858
2020-04-21,1.663,1.569,1.763
2020-04-22,1.623,1.536,1.714
2020-04-23,1.574,1.495,1.658
2020-04-24,1.602,1.527,1.681
2020-04-25,1.661,1.589,1.737
2020-04-26,1.619,1.552,1.688
2020-04-27,1.695,1.631,1.763
2020-04-28,1.615,1.557,1.676
2020-04-29,1.605,1.551,1.662
2020-04-30,1.61,1.559,1.664
2020-05-01,1.579,1.532,1.629
2020-05-02,1.533,1.489,1.579
2020-05-03,1.51,1.469,1.552
2020-05-04,1.625,1.583,1.668
2020-05-05,1.676,1.636,1.718
2020-05-06,1.68,1.642,1.719
2020-05-07,1.64,1.605,1.676
2020-05-08,1.618,1.585,1.652
2020-05-09,1.585,1.555,1.616
2020-05-10,1.569,1.541,1.599
2020-05-11,1.538,1.512,1.565
2020-05-12,1.493,1.469,1.518
2020-05-13,1.498,1.475,1.522
2020-05-14,1.466,1.444,1.488
2020-05-15,1.504,1.482,1.525
2020-05-16,1.488,1.468,1.509
2020-05-17,1.473,1.454,1.493
2020-05-18,1.445,1.427,1.463
2020-05-19,1.413,1.396,1.43
2020-05-20,1.413,1.397,1.43
2020-05-21,1.406,1.39,1.421
2020-05-22,1.443,1.428,1.459
2020-05-23,1.452,1.437,1.467
2020-05-24,1.411,1.397,1.424
2020-05-25,1.438,1.425,1.452
2020-05-26,1.419,1.406,1.432
2020-05-27,1.413,1.401,1.425
2020-05-28,1.425,1.413,1.437
2020-05-29,1.424,1.413,1.436
2020-05-30,1.408,1.398,1.419
2020-05-31,1.424,1.413,1.434
2020-06-01,1.404,1.394,1.414
2020-06-02,1.386,1.377,1.395
2020-06-03,1.385,1.376,1.394
2020-06-04,1.381,1.373,1.39
2020-06-05,1.37,1.362,1.379
2020-06-06,1.372,1.364,1.38
2020-06-07,1.361,1.353,1.368
2020-06-08,1.343,1.336,1.351
2020-06-09,1.327,1.32,1.334
2020-06-10,1.319,1.312,1.326
2020-06-11,1.322,1.315,1.328
2020-06-12,1.315,1.309,1.321
2020-06-13,1.307,1.301,1.313
2020-06-14,1.303,1.297,1.308
2020-06-15,1.287,1.282,1.293
2020-06-16,1.276,1.27,1.281
2020-06-17,1.285,1.279,1.29
2020-06-18,1.279,1.274,1.284
2020-06-19,1.276,1.272,1.281
2020-06-20,1.269,1.265,1.274
2020-06-21,1.282,1.277,1.287
2020-06-22,1.269,1.265,1.274
2020-06-23,1.3,1.296,1.305
2020-06-24,1.305,1.301,1.309
2020-06-25,1.293,1.289,1.297
2020-06-26,1.282,1.278,1.286
2020-06-27,1.268,1.264,1.272
2020-06-28,1.256,1.252,1.26
2020-06-29,1.242,1.239,1.246
2020-06-30,1.232,1.229,1.236
2020-07-01,1.222,1.219,1.226
2020-07-02,1.215,1.212,1.218
2020-07-03,1.206,1.203,1.209
2020-07-04,1.2,1.197,1.203
2020-07-05,1.192,1.189,1.195
2020-07-06,1.183,1.18,1.186
2020-07-07,1.175,1.172,1.178
2020-07-08,1.169,1.166,1.172
