"data","R0","LB","UB"
2020-03-16,1,0,423.49
2020-03-17,37.55,3.943,474.312
2020-03-18,5.844,0.565,26.398
2020-03-19,3.554,0.538,11.867
2020-03-20,3.138,0.838,8.166
2020-03-21,2.687,0.95,5.95
2020-03-22,1.841,0.653,3.885
2020-03-23,1.622,0.659,3.161
2020-03-24,1.48,0.672,2.696
2020-03-25,1.864,1.073,2.989
2020-03-26,1.998,1.281,2.978
2020-03-27,1.795,1.196,2.584
2020-03-28,2.111,1.536,2.852
2020-03-29,2.038,1.539,2.664
2020-03-30,1.691,1.286,2.187
2020-03-31,1.592,1.236,2.019
2020-04-01,1.542,1.223,1.919
2020-04-02,1.57,1.277,1.913
2020-04-03,1.403,1.146,1.698
2020-04-04,1.565,1.319,1.849
2020-04-05,1.655,1.422,1.921
2020-04-06,1.659,1.445,1.902
2020-04-07,1.557,1.365,1.771
2020-04-08,1.578,1.4,1.777
2020-04-09,1.685,1.513,1.875
2020-04-10,1.698,1.538,1.874
2020-04-11,1.642,1.498,1.802
2020-04-12,1.628,1.494,1.774
2020-04-13,1.617,1.493,1.753
2020-04-14,1.529,1.417,1.651
2020-04-15,1.646,1.536,1.765
2020-04-16,1.61,1.509,1.72
2020-04-17,1.558,1.465,1.658
2020-04-18,1.522,1.436,1.614
2020-04-19,1.555,1.472,1.643
2020-04-20,1.509,1.433,1.59
2020-04-21,1.459,1.388,1.533
2020-04-22,1.431,1.365,1.501
2020-04-23,1.405,1.343,1.47
2020-04-24,1.377,1.319,1.438
2020-04-25,1.381,1.325,1.439
2020-04-26,1.362,1.31,1.417
2020-04-27,1.407,1.356,1.46
2020-04-28,1.409,1.361,1.46
2020-04-29,1.411,1.365,1.459
2020-04-30,1.408,1.364,1.454
2020-05-01,1.432,1.389,1.476
2020-05-02,1.407,1.366,1.448
2020-05-03,1.376,1.339,1.416
2020-05-04,1.355,1.319,1.392
2020-05-05,1.326,1.293,1.361
2020-05-06,1.334,1.301,1.367
2020-05-07,1.362,1.33,1.395
2020-05-08,1.328,1.298,1.359
2020-05-09,1.311,1.282,1.34
2020-05-10,1.29,1.263,1.318
2020-05-11,1.275,1.249,1.301
2020-05-12,1.253,1.228,1.278
2020-05-13,1.237,1.213,1.261
2020-05-14,1.262,1.239,1.286
2020-05-15,1.327,1.304,1.352
2020-05-16,1.348,1.325,1.371
2020-05-17,1.333,1.311,1.355
2020-05-18,1.317,1.296,1.339
2020-05-19,1.316,1.296,1.337
2020-05-20,1.317,1.297,1.336
2020-05-21,1.332,1.313,1.352
2020-05-22,1.33,1.312,1.349
2020-05-23,1.344,1.326,1.362
2020-05-24,1.335,1.318,1.353
2020-05-25,1.319,1.303,1.336
2020-05-26,1.3,1.285,1.316
2020-05-27,1.31,1.295,1.326
2020-05-28,1.319,1.304,1.334
2020-05-29,1.324,1.31,1.339
2020-05-30,1.357,1.343,1.372
2020-05-31,1.342,1.328,1.356
2020-06-01,1.331,1.318,1.345
2020-06-02,1.34,1.327,1.353
2020-06-03,1.364,1.352,1.377
2020-06-04,1.359,1.347,1.371
2020-06-05,1.369,1.357,1.381
2020-06-06,1.385,1.373,1.397
2020-06-07,1.37,1.358,1.381
2020-06-08,1.35,1.339,1.361
2020-06-09,1.357,1.346,1.367
2020-06-10,1.373,1.363,1.384
2020-06-11,1.374,1.364,1.384
2020-06-12,1.37,1.361,1.38
2020-06-13,1.353,1.344,1.362
2020-06-14,1.33,1.321,1.339
2020-06-15,1.31,1.302,1.318
2020-06-16,1.401,1.393,1.41
2020-06-17,1.43,1.421,1.439
2020-06-18,1.434,1.425,1.442
2020-06-19,1.433,1.424,1.441
2020-06-20,1.429,1.421,1.437
2020-06-21,1.425,1.417,1.432
